,其他垃圾/一次性快餐盒,其他垃圾/污损塑料,其他垃圾/烟蒂,其他垃圾/牙签,其他垃圾/破碎花盆及碟碗,其他垃圾/竹筷,厨余垃圾/剩饭剩菜,厨余垃圾/大骨头,厨余垃圾/水果果皮,厨余垃圾/水果果肉,厨余垃圾/茶叶渣,厨余垃圾/菜叶菜根,厨余垃圾/蛋壳,厨余垃圾/鱼骨,可回收物/充电宝,可回收物/包,可回收物/化妆品瓶,可回收物/塑料玩具,可回收物/塑料碗盆,可回收物/塑料衣架,可回收物/快递纸袋,可回收物/插头电线,可回收物/旧衣服,可回收物/易拉罐,可回收物/枕头,可回收物/毛绒玩具,可回收物/洗发水瓶,可回收物/玻璃杯,可回收物/皮鞋,可回收物/砧板,可回收物/纸板箱,可回收物/调料瓶,可回收物/酒瓶,可回收物/金属食品罐,可回收物/锅,可回收物/食用油桶,可回收物/饮料瓶,有害垃圾/干电池,有害垃圾/软膏,有害垃圾/过期药物
可回收物/易拉罐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0
可回收物/枕头,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可回收物/毛绒玩具,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可回收物/洗发水瓶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,1
可回收物/玻璃杯,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,14,0,1,0,2,0,1,0,1,0,0,0,0
可回收物/皮鞋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
可回收物/砧板,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,1,0,0,0,2,0,0,0,0,0
可回收物/纸板箱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0
可回收物/调料瓶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,4,0,0,4,0,0,0,0
可回收物/酒瓶,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0
可回收物/金属食品罐,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,10,1,0,0,0,0,0
可回收物/锅,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0
可回收物/食用油桶,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,1,0,0,0
可回收物/饮料瓶,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,7,0,0,0
有害垃圾/干电池,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
有害垃圾/软膏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10
有害垃圾/过期药物,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,15
